PortName,Country,Latitude,Longitude,Min Temp,Max Temp,Annual Temp,Salinity,TempSource,SalinitySource,DataNotes
Yibin,CHN,28.76667,104.61667,10.07,27.73,20.07,0,Air,DistIn,0
Yichang,CHN,30.7,111.3,7.14,28.43,18.87,0,Air,DistIn,0
Yingkou,CHN,40.68333,122.23333,0.05,26,11.17,13.25,Air,Model,0
Yiyang,CHN,28.56667,112.31667,7.4,29.22,19.31,0,Air,DistIn,0
Yizheng,CHN,32.2,119.2,5.16,28.29,17.42,0,Air,DistIn,0
Yuanjiang,CHN,28.83333,112.36667,7.49,29.35,19.45,0,Air,DistIn,0
Yueyang,CHN,29.38333,113.08333,7.49,29.35,19.53,0,Air,DistIn,0
Zhangjiabu,CHN,37.01667,122.18333,2.95,25.6,13.97,23.42,Air,Model,0
Zhangjiagang,CHN,31.96667,120.4,5.4,28.01,17.27,0,Air,DistIn,0
Zhaoqing,CHN,23.05,112.43333,15.53,28.9,23.62,0,Air,DistIn,0
Zhapu,CHN,30.58333,121.08333,6.88,28.76,18.54,29.24,Air,WOA,0
Zhenhai,CHN,29.96667,121.7,7.84,28.36,18.79,30.53,Air,WOA,0
Zhenjiang,CHN,32.21667,119.40722,5.16,28.29,17.38,0,Air,DistIn,0
Zhicheng,CHN,30.31667,111.5,6.88,28.29,18.6,0,Air,DistIn,0
Zhongshan,CHN,22.51667,113.35,16.54,28.96,24.1,0.18,Air,Model,0
Zhuanghe,CHN,39.68333,122.96667,0.25,25.19,11.38,30.77,Air,WOA,0
Zhuzhou,CHN,27.83333,113.13333,7.75,29.35,19.7,0,Air,DistIn,0
Abidjan,CIV,5.3,-4,25.52,28.08,27.09,18.37,Air,Model,0
Boubele,CIV,4.48333,-7.23333,25.28,27.59,26.08,34.36,Air,WOA,0
Grand.Berebi,CIV,4.65,-6.88333,25.28,27.59,26.08,34.52,Air,WOA,0
San.Pedro.CIV,CIV,4.73333,-6.61667,25.44,27.59,26.59,34.52,Air,WOA,0
Bonaberi,CMR,4.06667,9.68333,26.16,28.43,27.43,27,Air,Close,0
Campo,CMR,2.33333,9.86667,26,27.8,27.02,28.92,Air,Close,0
Douala,CMR,4.05,9.7,26.16,28.43,27.43,27,Air,Close,0
Garoua,CMR,9.28333,13.36667,26.77,31.27,28.55,0,Air,DistIn,0
Limbe,CMR,4,9.2,22.7,28.29,26.08,27.22,Air,WOA,0
Limboh.Term.,CMR,4,9.13333,25.28,26.85,26.08,27.22,Air,WOA,0
Tiko,CMR,4.06667,9.4,25.92,28.22,27.15,27.22,Air,Close,0
Arguineguin,CNI,27.75,-15.66667,16.94,23.58,19.9,36.65,Air,WOA,0
Los.Cristianos,CNI,28.05,-16.71667,17.14,23.76,20.21,36.77,Air,WOA,0
Banana,COD,-6.01667,12.4,23.76,28.36,26.8,31.28,Air,WOA,0
Boma,COD,-5.85,13.05,23.32,27.73,26.23,0.69,Air,Model,0
Matadi,COD,-5.81667,13.45,22.61,26.85,25.43,0,Air,DistIn,0
Bas.Kouilou,COG,-4.5,11.68333,23.58,27.66,26.21,32.04,Air,WOA,0
Loango,COG,-4.65,11.81667,23.58,27.66,26.21,32.04,Air,WOA,0
Pointe.Noire.COG,COG,-4.78333,11.83333,23.58,27.59,26.08,31.41,Air,WOA,0
Bahia.Solano,COL,6.23333,-77.41667,26.23,26.77,26.47,29.62,Air,WOA,0
Barranquilla,COL,10.96667,-74.78333,27.73,28.83,28.38,2.89,Air,Model,0
Boca.de.Pepe,COL,5.05,-77.05,26.77,27.44,27.08,29.73,Air,Close,0
Buenaventura,COL,3.9,-77.08333,26.47,27.22,26.85,29.95,Air,Close,0
Covenas,COL,9.41667,-75.68333,27.66,28.63,28.08,35.28,Air,WOA,0
El.Charco,COL,3.45,-77.31667,26.54,27.15,26.86,30.03,Air,Close,0
Leticia,COL,-4.2,-69.93333,26.31,27.22,26.83,0,Air,DistIn,0
Mamonal,COL,10.31667,-75.51667,27.8,28.5,28.2,23.85,Air,Model,0
Pizarro,COL,2.03333,-78.61667,26.85,27.37,27.01,6.64,Air,Model,0
Pozos.Colorados.Term.,COL,11.15,-74.25,27,28.08,27.62,35.41,Air,WOA,0
Puerto.Carreno,COL,6.16667,-67.48333,26.92,29.16,27.9,0,Air,DistIn,0
Puerto.Inirida,COL,3.85,-67.85,27.15,28.7,27.83,0,Air,DistIn,0
Puerto.Nuevo,COL,3.58333,-69.56667,26.85,28.5,27.65,0,Air,DistIn,0
Puerto.Zuniga,COL,11.15,-74.21667,27,28.08,27.62,35.41,Air,WOA,0
Salahonda,COL,2.03333,-78.63333,26.85,27.37,27.01,7.12,Air,Model,0
Satinga,COL,2.35,-78.25,26.85,27.37,27.02,6.51,Air,Model,0
Timbiqui,COL,2.71667,-77.75,26.85,27.44,27.08,7.1,Air,Model,0
Tolu,COL,9.26667,-75.58333,27.59,28.7,28.06,7.92,Air,Model,0
Tumaco,COL,1.85,-78.73333,26.85,27.59,26.85,32.53,Air,WOA,0
Turbo,COL,8.06667,-76.73333,27.15,27.73,27.42,34.99,Air,WOA,0
Caldera.CRI,CRI,9.9,-84.73333,26.92,28.9,27.59,32.6,Air,WOA,0
Golfito,CRI,8.63333,-83.18333,26.92,28.29,27.42,32.31,Air,WOA,0
Playas.del.Coco,CRI,10.55,-85.7,27.07,28.43,27.62,33.47,Air,WOA,0
Punta.Morales,CRI,10,-84.96667,27,28.7,27.62,32.6,Air,WOA,0
Puntarenas,CRI,9.98333,-84.85,27,28.7,27.62,32.6,Air,WOA,0
Quepos,CRI,9.4,-84.16667,26.08,28.29,26.85,32.68,Air,WOA,0
Bahia.Honda,CUB,22.96667,-83.16667,23.06,27.94,26.01,24.93,Air,Model,0
Boca.Grande.CUB,CUB,21.55,-78.66667,23.85,28.08,26.37,36.47,Air,WOA,0
Boqueron,CUB,19.98333,-75.11667,25.68,28.56,27.31,35.89,Air,WOA,0
Cabo.Cruz,CUB,19.85,-77.71667,25.28,28.29,26.85,27.41,Air,Model,0
Casilda,CUB,21.75,-79.98333,24.95,28.43,27,36.18,Air,WOA,0
Ceiba.Hueca,CUB,20.21667,-77.31667,24.95,28.15,26.9,36.21,Air,WOA,0
Cienfuegos,CUB,22.13333,-80.45,23.85,28.08,26.35,24.3,Air,Model,0
Guayabal,CUB,20.7,-77.61667,24.95,28.29,26.91,36.26,Air,WOA,0
Havana,CUB,23.13333,-82.35,23.23,28.01,26.06,36.01,Air,WOA,0
Jucaro,CUB,21.61667,-78.85,23.76,28.01,26.31,36.47,Air,WOA,0
Manzanillo.CUB,CUB,20.35,-77.11667,24.95,28.29,26.99,36.26,Air,WOA,0
Media.Luna,CUB,20.16667,-77.43333,24.86,28.01,26.72,36.2,Air,WOA,0
Nicaro,CUB,20.71667,-75.55,25.19,28.43,27.03,22.77,Air,Model,0
Palo.Alto,CUB,21.6,-78.96667,23.76,28.01,26.31,36.47,Air,WOA,0
Sagua.la.Grande,CUB,22.85,-80.08333,22.88,27.87,25.84,18.32,Air,Model,0
San.Ramon,CUB,20.21667,-77.36667,25.28,28.29,26.85,36.21,Air,WOA,0
Santa.Lucia,CUB,22.68333,-83.96667,23.58,27.94,26.22,35.95,Air,WOA,0
Santiago,CUB,19.98333,-75.86667,24.44,27.59,26.85,35.94,Air,WOA,0
Tanamo,CUB,20.7,-75.33333,25.11,28.43,27,28.47,Air,Model,0
Karavostassi,CYP,35.13333,32.81667,11.04,26.54,19.02,39.2,Air,WOA,0
Paphos,CYP,34.75,32.41667,13.62,26.62,20.31,39.04,Air,WOA,0
Xeros.Pier,CYP,35.13333,32.83333,11.04,26.54,19.02,39.2,Air,WOA,0
Chvaletice,CZE,50.01667,15.43333,2.26,20.19,10.66,0,Air,DistIn,0
Usti.nad.Labem,CZE,50.66667,14.03333,2.15,19.8,10.26,0,Air,DistIn,0
Abbenfleth,DEU,53.68333,9.5,3.72,18.63,10.61,25.09,Air,Close,0
Aken,DEU,51.85,12.03333,3.2,19.9,10.91,0,Air,DistIn,0
Andernach,DEU,50.41667,7.38333,4.13,19.9,11.56,0,Air,DistIn,0
Anklam,DEU,53.86667,13.68333,2.71,19.41,10.4,7.81,Air,Close,0
Aschaffenburg,DEU,49.95,9.16667,3.39,20.19,11.26,0,Air,DistIn,0
Bardenfleth,DEU,53.15,8.55,3.99,18.93,10.93,27.33,Air,Close,0
Barth,DEU,54.36667,12.73333,3.32,18.53,10.2,6.72,Air,Close,0
Beidenfleth,DEU,53.86667,9.43333,3.72,18.53,10.53,25.09,Air,Close,0
Bendorf,DEU,50.41667,7.58333,3.99,19.8,11.45,0,Air,DistIn,0
Bensersiel,DEU,53.68333,7.58333,4.06,18.93,10.94,30.11,Air,WOA,0
Berlin,DEU,52.53333,13.41667,3.01,20.28,11.03,0,Air,DistIn,0
Berne,DEU,53.18333,10.5,3.65,18.93,10.66,0,Air,DistIn,0
Bingen,DEU,49.95,7.9,3.92,20.38,11.66,0,Air,DistIn,0
Blexen,DEU,53.53333,8.53333,3.92,18.63,10.74,27.33,Air,Close,0
Blumenthal,DEU,53.18333,8.56667,3.92,18.83,10.86,27.33,Air,Close,0
Bodenwerder,DEU,51.96667,9.5,3.39,18.73,10.44,0,Air,DistIn,0
Boizenburg,DEU,53.38333,10.73333,3.65,18.93,10.66,0,Air,DistIn,0
Bonn,DEU,50.71667,7.08333,4.56,20.09,11.99,0,Air,DistIn,0
Brake,DEU,53.33333,8.48333,4.06,18.83,10.92,27.33,Air,Close,0
Brandenburg,DEU,52.4,12.51667,3.13,19.99,10.97,0,Air,DistIn,0
Braunschweig,DEU,52.25,10.5,3.65,19.32,10.84,0,Air,DistIn,0
Bremen,DEU,53.08333,8.78333,3.99,18.93,10.94,27.33,Air,Close,0
Bremerhaven,DEU,53.55,8.58333,3.92,18.63,10.74,27.33,Air,Close,0
Brohl,DEU,50.41667,7.3,3.79,19.22,10.97,0,Air,DistIn,0
Brokdorf,DEU,53.86667,9.33333,3.72,18.53,10.53,25.09,Air,Close,0
Brunsbuttel,DEU,53.9,9.13333,3.72,18.53,10.53,25.09,Air,Close,0
Burg,DEU,53.98333,9.28333,3.72,18.53,10.53,25.09,Air,Close,0
Busum,DEU,54.13333,8.86667,3.79,18.43,10.51,27.22,Air,WOA,0
Butzfleth,DEU,53.65,9.51667,3.72,18.73,10.65,25.09,Air,Close,0
Castrop.Rauxel,DEU,51.55,7.3,4.64,19.41,11.63,0,Air,DistIn,0
Cologne,DEU,50.93333,7,4.79,20.09,12.09,0,Air,DistIn,0
Cuxhaven,DEU,53.86667,8.7,4.06,18.93,10.94,25.09,Air,WOA,0
Dagebull,DEU,54.73333,8.73333,3.72,18.04,10.21,28.49,Air,WOA,0
Deggendorf,DEU,48.83333,12.96667,2.42,20.28,10.7,0,Air,DistIn,0
Ditzum,DEU,53.31667,7.26667,4.34,18.83,11,20.91,Air,Model,0
Dormagen,DEU,51.1,6.95,4.86,19.99,12.09,0,Air,DistIn,0
Dortmund,DEU,51.53333,7.45,4.56,19.41,11.59,0,Air,DistIn,0
Duisburg.,DEU,51.43333,6.75,4.94,19.7,11.97,0,Air,DistIn,0
Dusseldorf,DEU,51.25,6.76667,4.94,19.9,12.05,0,Air,DistIn,0
Eckernforde,DEU,54.48333,9.85,3.72,18.43,10.34,15.94,Air,WOA,0
Einswarden,DEU,53.51667,8.51667,3.92,18.63,10.74,27.33,Air,Close,0
Eisenhuttenstadt,DEU,52.15,14.61667,2.1,20.38,10.65,0,Air,DistIn,0
Elmshorn,DEU,53.75,9.65,3.72,18.63,10.61,25.09,Air,Close,0
Elsfleth,DEU,53.23333,8.46667,4.06,18.83,10.92,27.33,Air,Close,0
Emden,DEU,53.35,7.18333,4.27,18.73,10.93,23.26,Air,Model,0
Emmerich,DEU,51.85,6.25,4.86,19.02,11.42,0,Air,DistIn,0
Erftstadt,DEU,50.8,6.75,4.49,19.7,11.67,0,Air,DistIn,0
Essen,DEU,51.45,7.01667,4.64,19.51,11.67,0,Air,DistIn,0
Farge,DEU,53.2,8.51667,3.92,18.83,10.86,27.33,Air,Close,0
Fischerhutte,DEU,54.15,9.36667,3.58,18.33,10.35,25.09,Air,Close,0
Flensburg,DEU,54.8,9.43333,3.45,17.84,9.95,18.67,Air,WOA,0
Frankfurt,DEU,50.11667,8.66667,3.52,20.38,11.44,0,Air,DistIn,0
Freiburg,DEU,53.81667,9.3,3.79,18.63,10.62,25.09,Air,Close,0
Friedrichstadt,DEU,54.38333,9.08333,3.65,18.14,10.28,27.22,Air,Close,0
Ganspe,DEU,53.2,8.55,3.92,18.83,10.86,27.33,Air,Close,0
Geesthacht,DEU,53.43333,10.38333,3.58,18.83,10.61,0,Air,DistIn,0
Gelsenkirchen,DEU,51.5,7.08333,4.64,19.51,11.67,0,Air,DistIn,0
Gelting,DEU,54.73333,9.9,3.79,18.33,10.29,18.67,Air,WOA,0
Germersheim,DEU,49.21667,8.38333,4.13,21.41,12.36,0,Air,DistIn,0
Gernsheim,DEU,49.75,8.46667,3.92,20.85,11.93,0,Air,DistIn,0
Gluckstadt,DEU,53.78333,9.41667,3.72,18.63,10.61,25.09,Air,Close,0
Greifswald,DEU,54.1,13.38333,3.01,18.63,10.06,7.81,Air,Close,0
Hamburg,DEU,53.55,9.96667,3.65,18.73,10.61,0.5,Air,Salinity updated as per Stephan Gollasch,0
Haren.DEU,DEU,52.8,7.25,4.34,18.63,10.99,4.57,Air,Model,0
Harlesiel,DEU,53.63333,7.75,4.13,18.73,10.85,29.46,Air,WOA,0
Havelberg,DEU,52.83333,12.06667,3.26,19.61,10.77,0,Air,DistIn,0
Hemmoor,DEU,53.7,9.13333,3.79,18.63,10.61,25.09,Air,Close,0
Heringsdorf,DEU,53.96667,14.16667,2.42,20.09,10.77,7.95,Air,WOA,0
Hochdonn,DEU,54.01667,9.3,3.65,18.33,10.39,25.09,Air,Close,0
Hohenhorn,DEU,53.46667,10.36667,3.58,18.83,10.61,0,Air,DistIn,0
Holmer.Siel,DEU,54.53333,8.86667,3.65,18.14,10.24,27.88,Air,WOA,0
Holtenau,DEU,54.36667,10.15,3.72,18.43,10.36,15.94,Air,WOA,0
Homberg,DEU,51.45,6.71667,4.94,19.7,11.97,0,Air,DistIn,0
Hoya,DEU,52.8,9.13333,3.79,19.02,10.86,0,Air,DistIn,0
Husum.DEU,DEU,54.48333,9.05,3.65,18.14,10.28,27.88,Air,Close,0
Ibbenburen,DEU,52.28333,7.73333,4.13,18.83,10.99,0,Air,DistIn,0
Itzehoe,DEU,53.93333,9.51667,3.65,18.53,10.5,25.09,Air,Close,0
Juist,DEU,53.68333,7,4.06,18.93,10.94,31.32,Air,WOA,0
Kappeln,DEU,54.66667,9.93333,3.72,18.33,10.29,16.72,Air,WOA,0
Karlsruhe,DEU,49.05,8.33333,4.2,21.51,12.42,0,Air,DistIn,0
Kehl,DEU,48.58333,7.83333,4.06,21.04,12.12,0,Air,DistIn,0
Kiel,DEU,54.31667,10.13333,3.65,18.43,10.32,15.94,Air,WOA,0
Koblenz,DEU,50.33333,7.58333,3.72,19.51,11.08,0,Air,DistIn,0
Krautsand,DEU,53.76667,9.38333,3.72,18.63,10.61,25.09,Air,Close,0
Krefeld,DEU,51.33333,6.56667,4.94,19.7,11.96,0,Air,DistIn,0
Laboe,DEU,54.4,10.21667,3.72,18.53,10.37,15.94,Air,WOA,0
Ladebow,DEU,54.1,13.45,3.01,18.63,10.06,7.81,Air,WOA,0
Lahnstein,DEU,50.3,7.61667,3.72,19.51,11.08,0,Air,DistIn,0
Lauenburg,DEU,53.38333,10.55,3.65,18.93,10.66,0,Air,DistIn,0
Leer,DEU,53.21667,7.45,4.27,18.83,10.99,5.65,Air,Model,0
Leeseringen,DEU,52.58333,9.13333,3.85,19.12,10.95,0,Air,DistIn,0
Lemwerder,DEU,53.16667,8.6,3.99,18.93,10.93,27.33,Air,Close,0
Leverkusen,DEU,51.01667,7.03333,4.49,19.51,11.62,0,Air,DistIn,0
Lubeck,DEU,53.86667,10.66667,3.58,18.63,10.46,13.79,Air,Close,0
Lubmin,DEU,54.11667,13.6,2.83,18.83,10.08,7.81,Air,WOA,0
Ludwigshafen.am.Rhein,DEU,49.46667,8.45,4.06,21.23,12.23,0,Air,DistIn,0
Magdeburg,DEU,52.13333,11.61667,3.13,19.7,10.71,0,Air,DistIn,0
Mainz,DEU,50,8.28333,3.72,20.38,11.55,0,Air,DistIn,0
Mannheim,DEU,49.48333,8.46667,4.06,21.23,12.23,0,Air,DistIn,0
Minden,DEU,52.3,8.9,3.79,19.12,10.95,0,Air,DistIn,0
Monheim,DEU,51.11667,6.81667,4.86,19.9,12.04,0,Air,DistIn,0
Moselkern,DEU,50.18333,7.36667,3.85,19.61,11.21,0,Air,DistIn,0
Mulheim,DEU,50.95,7.05,4.64,20.09,12.01,0,Air,DistIn,0
Neckarsteinach,DEU,49.43333,8.8,3.39,20.09,11.14,0,Air,DistIn,0
Neuenfelde,DEU,53.5,9.81667,3.58,18.63,10.55,25.09,Air,Close,0
Neuhaus,DEU,53.8,9.03333,3.79,18.63,10.61,25.09,Air,WOA,0
Neuss,DEU,51.2,6.7,4.94,19.9,12.05,0,Air,DistIn,0
Neuss/Dusseldorf,DEU,51.2,6.7,4.94,19.9,12.05,0,Air,DistIn,0
Neustadt,DEU,54.1,10.81667,3.65,18.63,10.44,13.79,Air,WOA,0
Neuwied,DEU,50.43333,7.48333,4.13,19.9,11.56,0,Air,DistIn,0
Nienburg,DEU,52.63333,9.21667,3.79,19.12,10.93,0,Air,DistIn,0
Norddeich,DEU,53.63333,7.16667,4.27,18.53,10.81,31.38,Air,WOA,0
Nordenham,DEU,53.48333,8.48333,3.99,18.73,10.84,27.33,Air,Close,Temp verified European Marine Observation and Data Network (http://www.emodnet-physics.eu/Map/platinfo/piroosplot.aspx?platformid=9298&60days=false)
Norderney,DEU,53.7,7.16667,4.06,18.93,10.94,31.38,Air,WOA,0
Nordstrand,DEU,54.48333,8.91667,3.72,18.24,10.33,27.88,Air,WOA,0
Nuremberg,DEU,49.45,11.05,2.65,19.9,10.59,0,Air,DistIn,0
Oldenburg,DEU,53.15,8.23333,4.06,18.93,10.98,27.33,Air,Close,0
Oldersum,DEU,53.31667,7.33333,4.34,18.83,11,11.58,Air,Model,0
Orsoy,DEU,51.53333,6.68333,4.94,19.51,11.83,0,Air,DistIn,0
Oslebshausen,DEU,53.13333,8.73333,3.99,18.93,10.94,27.33,Air,Close,0
Osnabruck,DEU,52.26667,8.03333,3.92,18.83,10.84,0,Air,DistIn,0
Ostermoor,DEU,53.91667,9.18333,3.72,18.53,10.53,25.09,Air,Close,0
Papenburg,DEU,53.08333,7.38333,4.27,18.83,10.99,3.44,Air,Model,0
Passau,DEU,48.58333,13.46667,2.37,19.9,10.39,0,Air,DistIn,0
Peine,DEU,52.31667,10.21667,3.65,19.22,10.82,0,Air,DistIn,0
Porz,DEU,50.88333,7.05,4.64,20.09,12.01,0,Air,DistIn,0
Puttgarden,DEU,54.5,11.23333,3.72,18.63,10.45,14.39,Air,WOA,0
Regensburg,DEU,49.01667,12.11667,2.15,19.8,10.29,0,Air,DistIn,0
Remagen,DEU,50.56667,7.21667,4.13,19.7,11.46,0,Air,DistIn,0
Rendsburg,DEU,54.31667,9.66667,3.65,18.33,10.36,25.09,Air,Close,0
Rheinhausen,DEU,51.41667,6.73333,4.94,19.7,11.97,0,Air,DistIn,0
Rinteln,DEU,52.2,9.08333,3.72,19.02,10.81,0,Air,DistIn,0
Rosslau,DEU,51.9,12.26667,3.2,19.9,10.89,0,Air,DistIn,0
Rostock,DEU,54.15,12.1,3.45,18.83,10.43,7.65,Air,Close,0
Ruhrort,DEU,51.45,6.73333,4.94,19.7,11.97,0,Air,DistIn,0
Ruthenstrom,DEU,53.73333,9.4,3.72,18.63,10.61,25.09,Air,Close,0
Salzgitter,DEU,52.21667,10.33333,3.65,19.22,10.82,0,Air,DistIn,0
Schacht-Audorf,DEU,54.3,9.71667,3.65,18.33,10.36,25.09,Air,Close,0
Schleswig,DEU,54.51667,9.56667,3.52,18.14,10.15,15.94,Air,Close,0
Schlutup,DEU,53.88333,10.78333,3.65,18.73,10.54,13.79,Air,Close,0
Schulau,DEU,53.56667,9.7,3.65,18.73,10.64,25.09,Air,Close,0
Schwarzenhutten,DEU,53.7,9.16667,3.79,18.63,10.61,25.09,Air,Close,0
Speyer,DEU,49.3,8.43333,4.13,21.41,12.36,0,Air,DistIn,0
Stade,DEU,53.6,9.48333,3.72,18.63,10.64,25.09,Air,Close,0
Stadersand,DEU,53.61667,9.53333,3.72,18.73,10.65,25.09,Air,Close,0
Stralsund,DEU,54.31667,13.1,3.13,18.63,10.1,7.81,Air,Close,0
Sturzelberg,DEU,51.11667,6.8,4.86,19.9,12.04,0,Air,DistIn,0
Stuttgart,DEU,48.78333,9.2,3.45,20.19,11.24,0,Air,DistIn,0
Tangermunde,DEU,52.56667,11.96667,3.26,19.61,10.78,0,Air,DistIn,0
Tonning,DEU,54.31667,8.95,3.72,18.33,10.4,27.22,Air,Close,0
Travemunde,DEU,53.96667,10.9,3.65,18.73,10.53,13.79,Air,WOA,0
Urdingen,DEU,51.35,6.66667,4.94,19.61,11.9,0,Air,DistIn,0
Utersen,DEU,53.66667,9.65,3.72,18.73,10.65,25.09,Air,Close,0
Vallendar,DEU,50.4,7.61667,3.99,19.8,11.45,0,Air,DistIn,0
Vierow,DEU,54.1,13.56667,2.83,18.83,10.08,7.81,Air,WOA,0
Walsum,DEU,51.53333,6.68333,4.94,19.51,11.83,0,Air,DistIn,0
Warnemunde,DEU,54.18333,12.08333,3.39,18.93,10.94,7.65,Air,WOA,0
Weissenthurm,DEU,50.41667,7.48333,4.13,19.9,11.56,0,Air,DistIn,0
Wesel,DEU,51.65,6.6,4.94,19.51,11.81,0,Air,DistIn,0
Wesermunde,DEU,53.53333,8.58333,3.92,18.63,10.74,27.33,Air,Close,0
Wesseling,DEU,50.83333,7,4.49,19.8,11.74,0,Air,DistIn,0
Westerende-Kirchloog,DEU,53.43333,7.41667,4.27,18.73,10.93,11.24,Air,Model,0
Wewelsfleth,DEU,53.85,9.4,3.72,18.53,10.53,25.09,Air,Close,0
Wischhafen,DEU,53.78333,9.33333,3.79,18.63,10.62,25.09,Air,Close,0
Wismar,DEU,53.9,11.46667,3.58,18.73,10.49,14.09,Air,Close,0
Worms,DEU,49.63333,8.35,3.99,21.04,12.09,0,Air,DistIn,0
Wurzburg,DEU,49.78333,9.93333,2.83,19.41,10.47,0,Air,DistIn,0
Aabenraa,DNK,55.03333,9.43333,3.32,17.54,9.69,18.67,Air,WOA,0
Aalborg,DNK,57.05,9.91667,3.07,17.74,9.57,27.65,Air,Close,0
Aarhus,DNK,56.15,10.21667,3.26,17.64,9.62,20.52,Air,WOA,0
Asnaesvaerkets.Havn,DNK,55.66667,11.08333,3.58,18.33,10.24,18.06,Air,Close,0
Assens,DNK,55.26667,9.9,3.52,17.84,9.91,18.09,Air,WOA,0
Augustenborg,DNK,54.95,9.86667,3.72,18.24,10.16,18.67,Air,WOA,0
Bandholm,DNK,54.83333,11.5,3.72,18.43,10.34,15.97,Air,WOA,0
Egernsund,DNK,54.9,9.6,3.52,17.84,9.94,18.67,Air,WOA,0
Elsinore,DNK,56.03333,12.61667,3.26,18.63,10.11,15.22,Air,WOA,0
Enstedvaerkets.Havn,DNK,55.01667,9.43333,3.32,17.54,9.69,18.67,Air,WOA,0
Faaborg,DNK,55.1,10.23333,3.58,18.04,10.04,16.23,Air,WOA,0
Frederikssund,DNK,55.83333,12.05,3.58,18.63,10.36,17.79,Air,Close,0
Frederiksvaerk,DNK,55.96667,12.01667,3.52,18.73,10.35,17.79,Air,Close,0
Graasten,DNK,54.91667,9.61667,3.52,17.84,9.94,18.67,Air,WOA,0
Gudhjem,DNK,55.21667,14.96667,3.01,18.04,9.38,7.78,Air,WOA,0
Guldborg,DNK,54.86667,11.75,3.65,18.24,10.26,15.97,Air,WOA,0
Gulfhavn,DNK,55.2,11.25,3.58,18.43,10.28,15.97,Air,WOA,0
Hadsund,DNK,56.71667,10.11667,3.13,17.64,9.51,21.97,Air,Close,0
Hobro,DNK,56.63333,9.8,3.13,17.54,9.5,21.97,Air,Close,0
Holbaek,DNK,55.71667,11.71667,3.52,18.43,10.26,17.79,Air,Close,0
Horsens,DNK,55.85,9.86667,3.2,17.44,9.51,19.7,Air,Close,0
Hvalpsund,DNK,56.68333,9.2,3.26,17.54,9.63,0.02,Air,Model,0
Kalundborg,DNK,55.68333,11.08333,3.58,18.24,10.2,18.06,Air,Close,0
Karrebaeksminde,DNK,55.16667,11.63333,3.39,17.94,9.97,15.97,Air,WOA,0
Katholm,DNK,54.93333,9.83333,3.65,18.04,10.11,18.67,Air,WOA,0
Kerteminde,DNK,55.45,10.66667,3.58,18.14,10.14,17.15,Air,WOA,0
Koge,DNK,55.45,12.2,3.58,18.53,10.31,15.22,Air,WOA,0
Kolding,DNK,55.5,9.5,3.26,17.34,9.54,19.47,Air,WOA,0
Kongsdal,DNK,56.68333,10.06667,3.13,17.64,9.51,21.97,Air,Close,0
Lindo,DNK,55.46667,10.53333,3.58,18.14,10.14,17.15,Air,Close,0
Logstor,DNK,56.96667,9.25,3.26,17.54,9.62,0.01,Air,Model,0
Lyngsbaek.Bridge,DNK,56.23333,10.61667,3.2,17.74,9.54,20.18,Air,WOA,0
Mariager,DNK,56.65,9.98333,3.13,17.54,9.47,21.97,Air,Close,0
Masnedo,DNK,55,11.9,3.52,18.14,10.15,15.97,Air,WOA,0
Masnedsund,DNK,55,11.9,3.52,18.14,10.15,15.97,Air,WOA,0
Naestved,DNK,55.23333,11.75,3.52,18.24,10.2,15.97,Air,Close,0
Nakskov,DNK,54.83333,11.13333,3.79,18.53,10.41,15.49,Air,Close,0
Norresundby,DNK,57.06667,9.91667,3.07,17.74,9.57,27.65,Air,Close,0
Nykobing(Falster).DNK,DNK,54.76667,11.86667,3.58,18.24,10.24,15.43,Air,WOA,0
Nykobing(Sjaelland).DNK,DNK,55.91667,11.68333,3.52,18.53,10.27,16.98,Air,WOA,0
Odense,DNK,55.41667,10.38333,3.58,18.04,10.06,17.15,Air,Close,0
Orehoved,DNK,54.95,11.85,3.52,18.14,10.15,15.97,Air,WOA,0
Ostby,DNK,55.73333,12.03333,3.58,18.63,10.36,17.79,Air,Close,0
Randers,DNK,56.46667,10.05,3.13,17.54,9.47,21.97,Air,Close,0
Ribe,DNK,55.31667,8.76667,3.65,17.84,10.03,29.61,Air,Close,0
Ringkobing,DNK,56.08333,8.23333,3.92,17.74,10.08,26.66,Air,Model,0
Rodbyhavn,DNK,54.65,11.35,4.06,18.93,10.94,14.69,Air,WOA,0
Sakskobing,DNK,54.8,11.63333,3.65,18.33,10.3,15.97,Air,WOA,0
Skaelskor,DNK,55.25,11.28333,3.58,18.43,10.28,15.97,Air,Close,0
Skaerbaek,DNK,55.51667,9.61667,3.26,17.34,9.57,19.47,Air,WOA,0
Skive,DNK,56.56667,9.03333,3.32,17.54,9.69,0,Air,DistIn,0
Snaptun,DNK,55.81667,10.03333,3.39,17.94,9.97,19.26,Air,WOA,0
Sonderborg,DNK,54.91667,9.78333,3.65,18.04,10.11,18.67,Air,WOA,0
Struer,DNK,56.5,8.6,3.65,17.54,9.81,12.79,Air,Model,0
Studstrup,DNK,56.25,10.35,3.2,17.74,9.54,20.52,Air,WOA,0
Svendborg,DNK,55.05,10.61667,3.52,18.14,10.03,16.23,Air,WOA,0
Thisted,DNK,56.95,8.7,3.45,17.44,9.7,3.97,Air,Model,0
Vejle,DNK,55.71667,9.55,3.13,17.24,9.42,19.72,Air,Close,0
Vordingborg,DNK,55,11.9,3.52,18.14,10.15,15.97,Air,WOA,0
